run,green,yellow,greenOSU,yellowOSU
0,93.553774,83.029877,84.519225,85.892159
1,74.247172,89.95326,73.880239,83.851259
2,75.524223,87.624445,75.642107,85.851599
3,73.276533,84.804066,73.59848,84.244364
4,73.110588,84.385842,72.81131,85.265832
5,89.206562,78.90929,86.71162,79.0341
6,85.101005,76.693728,84.855902,76.453986
7,85.73172,77.654933,86.234478,77.132355
8,73.260884,72.321599,72.456156,72.937161
9,72.989714,74.91063,73.26794,76.520489
10,82.269604,78.126591,84.293457,84.714299
11,83.36752,87.014098,82.323637,85.72489
12,83.496163,85.295225,84.106765,85.169967
13,69.300394,86.475655,69.030374,85.964437
14,69.339245,84.799244,68.735797,84.430475
15,68.804176,83.97409,68.446677,83.627543
16,80.629442,83.29334,80.361864,81.581047
17,81.566126,84.556452,82.934536,85.37934
18,81.123623,83.895012,80.374348,81.783376
19,83.245812,83.649368,81.670006,82.634299
