run,nedd,lowerRouterStall,fewerSwitch,random,antinedd,neddNoCong,fewerNoCong
0,37,36,37,45,44,29,30
1,36,32,36,46,38,34,33
2,33,34,32,39,78,35,35
3,41,38,37,49,52,40,36
4,35,35,42,66,172,34,34
5,38,43,43,36,69,35,36
6,35,36,36,40,47,34,39
7,101,35,119,108,122,30,40
8,73,38,32,39,46,33,32
9,42,40,44,58,43,35,33
10,39,87,144,41,154,37,34
11,35,37,38,44,34,33,34
12,45,49,56,47,42,35,36
13,59,72,72,47,35,32,37
14,120,53,32,61,150,35,31
15,200,45,33,44,42,31,33
16,52,90,40,71,120,39,32
17,40,60,42,63,97,33,40
18,51,48,38,40,38,48,37
19,45,71,71,58,-1,-1,-1
